2015-09-16 13:46:11 - mutesong received command OFF
2015-09-16 13:46:11 - mutesong received command ON
2015-09-16 13:46:12 - mutesong received command OFF
2015-09-16 13:46:12 - mutesong received command ON
2015-09-16 13:46:12 - mutesong received command OFF
2015-09-16 13:46:12 - mutesong received command ON
2015-09-16 13:46:12 - mutesong received command OFF
2015-09-16 13:46:13 - mutesong received command ON
2015-09-16 13:46:13 - mutesong received command OFF
2015-09-16 13:46:13 - mutesong received command ON
2015-09-16 13:46:14 - stop received command ON
2015-09-16 13:46:14 - stop received command OFF
2015-09-16 13:46:15 - stop received command ON
2015-09-16 13:46:17 - mutesong received command OFF
2015-09-16 13:46:17 - stop received command OFF
2015-09-16 13:46:19 - mutesong received command ON
2015-09-16 13:46:20 - stop received command ON
2015-09-16 13:48:04 - mutesong received command ON
2015-09-16 13:48:05 - stop received command ON
2015-09-16 13:48:06 - stop received command OFF
2015-09-16 13:48:07 - stop received command ON
2015-09-16 13:48:07 - stop received command OFF
2015-09-16 13:48:07 - stop received command ON
2015-09-16 13:48:07 - stop received command OFF
2015-09-16 13:48:08 - stop received command ON
2015-09-16 13:48:08 - stop received command OFF
2015-09-16 13:48:08 - stop received command ON
2015-09-16 13:48:08 - stop received command OFF
2015-09-16 13:48:08 - stop received command ON
2015-09-16 13:48:09 - stop received command OFF
2015-09-16 13:48:09 - stop received command ON
2015-09-16 13:48:09 - stop received command OFF
2015-09-16 13:48:09 - stop received command ON
2015-09-16 13:48:09 - stop received command OFF
2015-09-16 13:48:10 - stop received command ON
2015-09-16 13:48:10 - stop received command OFF
2015-09-16 13:48:10 - stop received command ON
2015-09-16 13:48:10 - stop received command OFF
2015-09-16 13:48:10 - stop received command ON
2015-09-16 13:48:11 - stop received command OFF
2015-09-16 13:48:12 - stop received command ON
2015-09-16 13:48:13 - stop received command OFF
2015-09-16 13:48:13 - stop received command ON
2015-09-16 13:48:14 - stop received command OFF
2015-09-16 13:48:14 - stop received command ON
2015-09-16 13:48:15 - stop received command OFF
2015-09-16 13:48:15 - stop received command ON
2015-09-16 13:48:15 - stop received command OFF
2015-09-16 13:48:15 - stop received command ON
2015-09-16 13:48:15 - stop received command OFF
2015-09-16 13:48:15 - stop received command ON
2015-09-16 13:48:16 - stop received command OFF
2015-09-16 13:48:16 - stop received command ON
2015-09-16 13:48:16 - stop received command OFF
2015-09-16 13:48:16 - stop received command ON
2015-09-16 13:48:16 - stop received command OFF
2015-09-16 13:48:17 - stop received command ON
2015-09-16 13:48:17 - stop received command OFF
2015-09-16 13:48:17 - stop received command ON
2015-09-16 13:48:17 - stop received command OFF
2015-09-16 13:48:17 - stop received command ON
2015-09-16 13:48:18 - stop received command OFF
2015-09-16 13:48:18 - stop received command ON
2015-09-16 13:48:18 - stop received command OFF
2015-09-16 13:48:18 - stop received command ON
2015-09-16 13:48:18 - stop received command OFF
2015-09-16 13:48:19 - stop received command ON
2015-09-16 13:48:19 - stop received command OFF
2015-09-16 13:50:36 - mutesong received command ON
2015-09-16 13:50:37 - mutesong received command OFF
2015-09-16 13:53:08 - mutesong received command ON
2015-09-16 13:53:09 - mutesong received command OFF
2015-09-16 13:53:10 - mutesong received command ON
2015-09-16 13:53:12 - mutesong received command OFF
2015-09-16 13:53:13 - mutesong received command ON
2015-09-16 13:53:15 - mutesong received command OFF
2015-09-16 13:53:16 - mutesong received command ON
2015-09-16 13:53:16 - mutesong received command OFF
2015-09-16 13:53:17 - mutesong received command ON
2015-09-16 13:57:46 - mutesong received command ON
2015-09-16 13:57:47 - mutesong received command OFF
2015-09-16 13:57:47 - mutesong received command ON
2015-09-16 13:57:47 - mutesong received command OFF
2015-09-16 13:57:47 - mutesong received command ON
2015-09-16 13:57:48 - mutesong received command OFF
2015-09-16 13:57:48 - mutesong received command ON
2015-09-16 13:57:48 - mutesong received command OFF
2015-09-16 13:57:48 - mutesong received command ON
2015-09-16 13:57:48 - mutesong received command OFF
2015-09-16 14:02:51 - mutesong received command ON
2015-09-16 14:02:52 - mutesong received command OFF
2015-09-16 15:09:04 - mutesong received command ON
2015-09-16 15:09:05 - mutesong received command OFF
2015-09-16 15:19:28 - mutesong received command ON
2015-09-16 15:19:29 - mutesong received command OFF
2015-09-16 15:19:31 - mutesong received command ON
2015-09-16 15:19:33 - mutesong received command OFF
2015-09-16 15:19:34 - mutesong received command ON
2015-09-16 15:19:34 - mutesong received command OFF
2015-09-16 15:19:34 - mutesong received command ON
2015-09-16 15:19:34 - mutesong received command OFF
2015-09-16 15:19:34 - mutesong received command ON
2015-09-16 15:19:34 - mutesong received command OFF
2015-09-16 15:19:35 - mutesong received command ON
2015-09-16 15:19:35 - mutesong received command OFF
2015-09-16 15:19:35 - mutesong received command ON
2015-09-16 15:19:35 - mutesong received command OFF
2015-09-16 15:19:35 - mutesong received command ON
2015-09-16 15:19:35 - mutesong received command OFF
2015-09-16 15:19:36 - mutesong received command ON
2015-09-16 15:19:36 - mutesong received command OFF
2015-09-16 15:25:54 - mutesong received command ON
2015-09-16 15:25:55 - mutesong received command OFF
2015-09-16 15:25:56 - mutesong received command ON
2015-09-16 15:33:31 - mutesong received command ON
2015-09-16 15:33:31 - mutesong received command OFF
2015-09-16 15:33:32 - mutesong received command ON
2015-09-16 15:33:33 - mutesong received command OFF
2015-09-16 15:33:33 - mutesong received command ON
2015-09-16 15:33:33 - mutesong received command OFF
2015-09-16 15:33:33 - mutesong received command ON
2015-09-16 15:33:33 - mutesong received command OFF
2015-09-16 15:33:34 - mutesong received command ON
2015-09-16 15:33:34 - mutesong received command OFF
2015-09-16 15:33:35 - mutesong received command ON
2015-09-16 15:33:35 - mutesong received command OFF
2015-09-16 15:33:35 - mutesong received command ON
2015-09-16 15:33:35 - mutesong received command OFF
2015-09-16 15:33:36 - mutesong received command ON
2015-09-16 15:33:36 - mutesong received command OFF
2015-09-16 15:33:36 - mutesong received command ON
2015-09-16 15:33:36 - mutesong received command OFF
2015-09-16 15:33:36 - mutesong received command ON
2015-09-16 15:33:37 - mutesong received command OFF
2015-09-16 15:33:37 - mutesong received command ON
2015-09-16 15:33:37 - mutesong received command OFF
2015-09-16 15:33:37 - mutesong received command ON
2015-09-16 15:33:38 - mutesong received command OFF
2015-09-16 15:33:38 - mutesong received command ON
2015-09-16 15:33:38 - mutesong received command OFF
2015-09-16 15:33:38 - mutesong received command ON
2015-09-16 15:33:38 - mutesong received command OFF
2015-09-16 15:33:39 - mutesong received command ON
2015-09-16 15:33:39 - mutesong received command OFF
2015-09-16 15:33:39 - mutesong received command ON
2015-09-16 15:33:39 - mutesong received command OFF
2015-09-16 15:33:40 - mutesong received command ON
2015-09-16 15:33:40 - mutesong received command OFF
2015-09-16 15:33:40 - mutesong received command ON
2015-09-16 15:33:41 - mutesong received command OFF
2015-09-16 15:33:41 - mutesong received command ON
2015-09-16 15:33:41 - mutesong received command OFF
2015-09-16 15:33:41 - mutesong received command ON
2015-09-16 15:33:41 - mutesong received command OFF
2015-09-16 15:33:42 - mutesong received command ON
2015-09-16 15:33:42 - mutesong received command OFF
2015-09-16 15:33:42 - mutesong received command ON
2015-09-16 15:33:43 - mutesong received command OFF
2015-09-16 15:33:43 - mutesong received command ON
2015-09-16 15:33:43 - mutesong received command OFF
2015-09-16 15:36:40 - mutesong received command ON
2015-09-16 15:36:41 - mutesong received command OFF
2015-09-16 15:36:42 - mutesong received command ON
2015-09-16 15:36:42 - mutesong received command OFF
2015-09-16 15:36:43 - mutesong received command ON
2015-09-16 15:36:43 - mutesong received command OFF
2015-09-16 15:36:43 - mutesong received command ON
2015-09-16 15:36:43 - mutesong received command OFF
2015-09-16 15:36:43 - mutesong received command ON
2015-09-16 15:36:43 - mutesong received command OFF
2015-09-16 15:36:44 - mutesong received command ON
2015-09-16 15:36:44 - mutesong received command OFF
2015-09-16 15:36:44 - mutesong received command ON
2015-09-16 15:36:44 - mutesong received command OFF
2015-09-16 15:36:44 - mutesong received command ON
2015-09-16 15:36:44 - mutesong received command OFF
2015-09-16 15:36:45 - mutesong received command ON
2015-09-16 15:36:45 - mutesong received command OFF
2015-09-16 15:36:45 - mutesong received command ON
2015-09-16 15:36:45 - mutesong received command OFF
2015-09-16 15:36:45 - mutesong received command ON
2015-09-16 15:36:46 - mutesong received command OFF
2015-09-16 15:36:46 - mutesong received command ON
2015-09-16 15:36:46 - mutesong received command OFF
2015-09-16 16:05:58 - mutesong received command ON
2015-09-16 16:12:17 - mutesong received command ON
2015-09-16 16:12:56 - mutesong received command ON
2015-09-16 16:16:08 - mutesong received command ON
2015-09-16 16:16:09 - mutesong received command OFF
2015-09-16 16:16:09 - mutesong received command ON
2015-09-16 16:16:09 - mutesong received command OFF
2015-09-16 16:16:09 - mutesong received command ON
2015-09-16 16:16:09 - mutesong received command OFF
2015-09-16 16:16:10 - mutesong received command ON
2015-09-16 16:16:10 - mutesong received command OFF
2015-09-16 16:16:10 - mutesong received command ON
2015-09-16 16:16:11 - mutesong received command OFF
2015-09-16 16:16:11 - mutesong received command ON
2015-09-16 16:16:11 - mutesong received command OFF
2015-09-16 16:16:12 - mutesong received command ON
2015-09-16 16:16:12 - mutesong received command OFF
2015-09-16 16:16:12 - mutesong received command ON
2015-09-17 12:31:40 - playuri received command //192.168.188.36/sounds/Notification.wav
2015-09-17 12:32:11 - playuri received command //192.168.188.36/sounds/doorbell.mp3
2015-09-17 12:49:27 - playuri received command //192.168.188.36/sounds/doorbell.mp3
2015-09-17 12:49:31 - playuri received command //192.168.188.36/sounds/doorbell.mp3
2015-09-17 12:49:32 - playuri received command //192.168.188.36/sounds/doorbell.mp3
2015-09-17 12:50:36 - playuri received command //192.168.188.36/sounds/notification_vgm.wav
2015-09-17 12:50:48 - playuri received command //192.168.188.36/sounds/notification_vgm.wav
2015-09-17 12:51:18 - playuri received command //192.168.188.36/sounds/notification_vgm.wav
2015-09-17 12:55:00 - playuri received command 
2015-09-17 12:56:00 - playuri received command //192.168.188.36/sounds/notification_vgm.wav
2015-09-17 12:58:00 - playuri received command 
2015-09-17 13:00:00 - playuri received command 
2015-09-17 13:02:00 - playuri received command //192.168.188.36/sounds/notification_vgm.wav
2015-09-17 13:02:06 - stop received command OFF
2015-09-17 13:02:11 - stop received command OFF
2015-09-17 13:02:12 - stop received command OFF
2015-09-17 13:02:12 - stop received command OFF
2015-09-17 13:02:12 - stop received command OFF
2015-09-17 13:02:13 - stop received command OFF
2015-09-17 13:02:13 - stop received command OFF
2015-09-17 13:02:13 - stop received command OFF
2015-09-17 13:02:13 - stop received command OFF
2015-09-17 13:02:17 - stop received command OFF
2015-09-17 13:02:33 - stop received command OFF
2015-09-17 13:02:34 - stop received command OFF
2015-09-17 13:02:35 - stop received command OFF
2015-09-17 13:02:35 - stop received command OFF
2015-09-17 13:02:35 - stop received command OFF
2015-09-17 13:02:36 - stop received command OFF
2015-09-17 13:02:36 - stop received command OFF
2015-09-17 13:02:36 - stop received command OFF
2015-09-17 13:02:36 - stop received command OFF
2015-09-17 13:02:36 - stop received command OFF
2015-09-17 13:02:37 - stop received command OFF
2015-09-17 13:02:37 - stop received command OFF
2015-09-17 13:07:00 - playuri received command //192.168.188.36/sounds/notification_vgm.wav
2015-09-17 13:07:08 - stop received command OFF
2015-09-17 13:10:00 - playuri received command //192.168.188.36/sounds/notification_vgm.wav
2015-09-17 13:10:09 - stop received command OFF
2015-09-17 13:18:00 - playuri received command //192.168.188.36/sounds/notification_vgm.wav
2015-09-17 13:18:05 - switchlight received command ON
2015-09-17 13:18:21 - stop received command OFF
2015-09-17 13:20:00 - playuri received command //192.168.188.36/sounds/notification_vgm.wav
2015-09-17 13:20:34 - stop received command OFF
2015-09-17 13:45:00 - playuri received command //192.168.188.36/sounds/notification_vgm.wav
2015-09-17 13:45:19 - stop received command OFF
2015-09-17 14:45:00 - playuri received command 
2015-09-17 14:52:00 - playuri received command //192.168.188.36/sounds/notification_vgm.wav
2015-09-17 14:52:24 - stop received command OFF
2015-09-17 14:52:29 - stop received command OFF
